Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
07/05/22,02:10,1.90,0.28,94.13,93.86
07/05/22,02:21,2.34,0.06,94.10,93.87
07/05/22,02:41,2.28,0.13,94.38,93.86
07/05/22,02:43,2.38,0.04,94.35,93.85
07/05/22,02:44,1.93,0.19,94.14,93.86
07/05/22,02:49,3.41,0.44,93.54,93.87
07/05/22,02:50,3.35,0.31,94.55,93.88
07/05/22,02:54,3.40,0.12,94.08,93.86
07/05/22,03:00,3.26,0.78,94.53,93.88
07/05/22,03:15,3.33,0.05,94.09,93.86
07/05/22,03:30,3.34,0.59,94.03,93.87
07/05/22,03:45,2.30,0.07,93.72,93.90
07/05/22,04:00,3.44,0.49,93.98,93.50
07/05/22,04:15,2.28,0.05,94.60,93.88
07/05/22,04:30,3.77,0.66,94.30,93.45
07/05/22,04:45,1.98,0.26,94.30,93.85
07/05/22,05:00,9.06,2.64,93.98,63.37
07/05/22,05:15,2.32,0.12,93.49,93.84
07/05/22,05:30,3.24,0.16,94.19,93.90
07/05/22,05:45,2.27,0.21,94.54,93.85
07/05/22,06:00,12.32,114.16,93.88,80.48
07/05/22,06:15,2.27,0.07,94.47,93.87
07/05/22,06:30,13.35,229.61,94.09,90.86
07/05/22,06:45,3.38,0.11,93.53,93.86
07/05/22,07:00,3.38,0.12,94.22,93.87
07/05/22,07:15,3.28,0.06,94.44,93.86
07/05/22,07:30,6.61,0.42,93.93,74.85
07/05/22,07:45,2.37,0.05,94.34,93.85
07/05/22,08:00,8.63,0.56,94.00,63.50
07/05/22,08:15,2.34,0.12,94.20,93.86
07/05/22,08:30,3.92,0.20,93.80,93.89
07/05/22,08:45,2.01,0.27,94.05,93.86
07/05/22,09:00,8.24,55.79,94.37,93.88
07/05/22,09:15,2.31,0.24,94.52,93.88
07/05/22,09:30,12.68,0.92,93.95,86.80
07/05/22,09:45,3.73,0.20,93.96,93.88
07/05/22,10:00,3.36,0.22,93.95,93.72
07/05/22,10:15,2.33,0.06,93.91,93.85
07/05/22,10:30,3.84,0.27,93.71,93.89
07/05/22,10:45,2.15,0.19,94.39,93.88
07/05/22,11:00,3.39,0.60,94.11,93.86
07/05/22,11:15,2.22,0.41,93.47,93.86
07/05/22,11:30,4.42,0.35,94.75,93.42
07/05/22,11:45,2.35,0.05,93.65,93.87
07/05/22,12:00,3.41,0.25,94.33,93.64
07/05/22,12:15,2.30,0.06,94.19,93.86
07/05/22,12:30,4.82,0.15,94.05,92.36
07/05/22,12:45,3.51,0.50,93.35,93.89
07/05/22,13:00,5.20,0.22,94.19,92.38
07/05/22,13:15,2.34,0.03,94.28,93.87
07/05/22,13:30,4.34,1.42,94.02,93.44
07/05/22,13:45,2.27,0.15,94.16,93.86
07/05/22,14:00,3.70,0.33,94.39,93.73
07/05/22,14:15,2.34,0.39,94.38,93.87
07/05/22,14:30,3.61,0.32,94.12,93.96
07/05/22,14:45,2.27,0.07,94.34,93.87
07/05/22,15:00,4.86,0.77,93.93,84.84
07/05/22,15:15,3.50,0.27,94.44,93.90
07/05/22,15:30,25.55,1.44,93.71,91.72
07/05/22,15:45,2.28,0.09,94.04,93.86
07/05/22,16:15,3.43,1.03,94.05,93.88
07/05/22,16:30,5.41,0.80,94.58,93.87
07/05/22,16:45,3.33,0.15,94.16,93.86
